ï»¿Nombre,Codigo,Descripcion,CodigoQR,EsFraccionable,TipoFraccion,Subcategorias
ACCESORIOS,A,,,0,,Jender;Jendercito;Tiorico;Zavala
Conectores,B,,,0,,Conectores luces vehÃ­culos ;Conectores para sensor
luces led,L,,,0,,Luces faros;Luces micas;Accesorios Led
Carroceria,X,,,0,,parachoque;micas;manillas
Herramientas,H,,,0,,Llaves ajustables;gatos;hidraulicos
